Horror;2820;2421;1103;2374;2013;1431;1242;1208;1191;1172;2452;1164;1144;1137;1134;1124;1123;1115;1114;1108;1110
Horror;0.090179;0.077420;0.035272;0.075917;0.064373;0.045761;0.039717;0.038630;0.038086;0.037479;0.078411;0.037223;0.036583;0.036360;0.036264;0.035944;0.035912;0.035656;0.035624;0.035432;0.035496
Horror;25631;26429;29073;26523;27247;28413;28791;28863;28897;28935;26367;28951;28991;29005;29011;29031;29033;29049;29051;29063;29059
Horror;0.819641;0.845160;0.929711;0.848166;0.871318;0.908605;0.920693;0.922996;0.924083;0.925298;0.843177;0.925810;0.927089;0.927537;0.927729;0.928368;0.928432;0.928944;0.929008;0.929391;0.929264
Music;0;0;2;0;0;0;0;0;0;1;0;2;2;2;2;2;2;2;2;2;2
Music;0.000000;0.000000;0.000064;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000032;0.000000;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064;0.000064
Music;1328;1173;792;1158;1147;1138;1114;1093;1077;1061;1185;1030;996;961;943;922;905;883;860;835;812
Music;0.042467;0.037511;0.025327;0.037031;0.036679;0.036392;0.035624;0.034953;0.034441;0.033929;0.037895;0.032938;0.031851;0.030731;0.030156;0.029484;0.028941;0.028237;0.027502;0.026702;0.025967
Music;1328;1173;794;1158;1147;1138;1114;1093;1077;1062;1185;1032;998;963;945;924;907;885;862;837;814
Music;0.042467;0.037511;0.025391;0.037031;0.036679;0.036392;0.035624;0.034953;0.034441;0.033961;0.037895;0.033002;0.031915;0.030795;0.030220;0.029548;0.029005;0.028301;0.027565;0.026766;0.026031
Music;28615;28925;29687;28955;28977;28995;29043;29085;29117;29149;28901;29211;29279;29349;29385;29427;29461;29505;29551;29601;29647
Music;0.915065;0.924978;0.949346;0.925938;0.926641;0.927217;0.928752;0.930095;0.931118;0.932142;0.924211;0.934124;0.936299;0.938537;0.939689;0.941032;0.942119;0.943526;0.944997;0.946596;0.948067
Musical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Musical;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Musical;827;814;797;814;814;814;814;814;814;814;814;814;814;814;812;812;810;806;803;803;801
Musical;0.026446;0.026031;0.025487;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.025967;0.025967;0.025903;0.025775;0.025679;0.025679;0.025615
Musical;827;814;797;814;814;814;814;814;814;814;814;814;814;814;812;812;810;806;803;803;801
Musical;0.026446;0.026031;0.025487;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.026031;0.025967;0.025967;0.025903;0.025775;0.025679;0.025679;0.025615
Musical;29617;29643;29677;29643;29643;29643;29643;29643;29643;29643;29643;29643;29643;29643;29647;29647;29651;29659;29665;29665;29669
Musical;0.947108;0.947939;0.949026;0.947939;0.947939;0.947939;0.947939;0.947939;0.947939;0.947939;0.947939;0.947939;0.947939;0.947939;0.948067;0.948067;0.948195;0.948451;0.948643;0.948643;0.948770
Mystery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mystery;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Mystery;1866;1849;1431;1847;1846;1826;1760;1626;1472;1398;1849;1380;1378;1389;1395;1404;1413;1414;1425;1425;1428
